pl_discmethod,Period[days],Mass[Jupiter Mass]
Radial Velocity,1802.29000000,0.91500
Radial Velocity,3.44420000,0.42000
Transit,4.12688000,1.17000
Radial Velocity,42.37800000,0.02665
Radial Velocity,428.10000000,1.56000
Radial Velocity,2198.14000000,1.49400
Radial Velocity,18.02000000,0.66500
Radial Velocity,36.07000000,0.16200
Radial Velocity,5174.00000000,5.41500
Radial Velocity,379.00000000,5.90000
Radial Velocity,1116.00000000,1.16000
Radial Velocity,6.08810000,0.98000
Radial Velocity,8.78360000,0.02600
Radial Velocity,380.20000000,1.54200
Radial Velocity,1362.30000000,2.40000
Radial Velocity,2443.00000000,2.43000
Radial Velocity,311.60001000,1.37000
Radial Velocity,2527.83000000,8.62200
Radial Velocity,11613.00000000,7.60000
Radial Velocity,1157.00000000,1.22000
Radial Velocity,1684.00000000,0.47000
Radial Velocity,847.00000000,1.54700
Radial Velocity,466.00000000,0.62000
Radial Velocity,16.55350000,0.03290
Radial Velocity,51.20530000,0.04450
Radial Velocity,271.67370000,0.03720
Transit,0.95962400,
Transit,29.83832000,
Transit,8.50900000,0.02171
Radial Velocity,157.54000000,3.04000
Radial Velocity,2372.00000000,0.70000
